negara,2018,2019,2020,2021,2022
REP.RAKYAT CINA,"24,408.1","25,894.3","29,936.4","51,088.9","63,546.5"
AMERIKA SERIKAT,"17,667.7","17,806.1","18,622.4","25,792.8","28,202.0"
INDIA,"13,667.8","11,700.6","10,179.0","13,112.6","23,298.7"
JEPANG,"16,307.9","13,814.4","12,885.3","16,894.3","23,194.3"
MALAYSIA,"7,903.6","7,669.3","6,970.2","10,634.6","13,566.2"
PILIPINA,"6,812.3","6,754.5","5,858.5","8,601.9","12,899.0"
KOREA SELATAN,"7,507.8","6,100.1","5,609.5","7,958.0","10,656.9"
SINGAPURA,"9,002.4","9,437.2","8,533.3","8,083.3","9,733.5"
VIETNAM,"4,546.6","5,140.8","4,927.2","6,740.3","8,244.1"
TAIWAN,"3,718.0","3,779.9","3,726.4","6,360.7","7,878.8"
THAILAND,"5,723.7","5,461.0","4,543.3","5,872.4","6,890.0"
BELANDA,"3,835.7","3,057.3","3,057.5","4,531.4","5,252.3"
PAKISTAN,"2,385.0","1,918.2","2,374.4","3,829.5","4,330.2"
BANGLA DESH,"1,739.8","1,812.5","1,684.1","2,898.8","3,678.0"
AUSTRALIA,"2,162.9","2,109.8","2,415.4","2,995.9","3,224.6"
JERMAN,"2,707.7","2,405.5","2,456.3","2,914.6","3,216.1"
ITALIA,"1,920.9","1,749.3","1,746.2","2,805.7","3,129.9"
HONGKONG,"2,557.6","2,501.7","2,018.7","2,008.7","2,803.5"
UNI EMIRAT ARAB,"1,457.7","1,468.0","1,240.1","1,866.2","2,298.1"
SPANYOL,"2,253.3","1,599.2","1,515.7","2,353.1","2,293.6"
BELGIA,"1,261.2","1,075.5","1,220.4","1,632.0","2,143.4"
TURKI,"1,181.4","1,147.9","1,048.1","1,604.5","2,069.4"
SAUDI ARABIA,"1,222.2","1,503.0","1,338.8","1,583.4","2,018.7"
SWISS,"669,9","740,7","2,398.1","1,315.7","1,882.6"
INGGRIS,"1,464.5","1,351.1","1,283.1","1,476.7","1,663.6"
MEKSIKO,"893,3",920,"861,5","1,262.1","1,592.0"
BRASILIA,"1,145.7","1,002.6","1,015.2","1,509.8","1,487.0"
FEDERASI RUSIA,"1,000.8","863,9","973,5","1,492.9","1,386.5"
MESIR,"1,033.6","1,012.8","1,055.8","1,647.8","1,342.4"
KANADA,"913,8","858,1","789,1","1,063.3","1,276.2"
POLANDIA,"461,2","483,8","441,1","654,6","1,123.7"
REP.AFRIKA SELATAN,645,"588,2","571,7","966,1","1,090.2"
PERANCIS,"1,006.8","1,013.2","916,3","1,005.2","1,034.3"
BURMA,"896,7","874,5","1,031.5","1,116.4","945,8"
KAMBOJA,"525,4","606,2","541,2","531,2","725,9"
SELANDIA BARU,"486,8","444,7",477,"713,3","721,5"
DENMARK,"201,3","195,3","163,9","201,8","710,3"
SINEGAL,"55,7","49,9","67,7","159,6","619,8"
YORDANIA,"108,7","108,4","98,1",310,"592,6"
KENYA,"301,9","220,6","388,3","532,5","475,4"
NIGERIA,"420,6",424,"370,9","463,7","459,4"
PERU,"222,2","199,3","172,7","319,9","442,6"
OMAN,"321,7","294,1","184,1","251,8","411,1"
CHILI,159,"126,7","144,8","259,4","354,6"
YUNANI,"230,9","214,8","209,6","228,5",327
ANGOLA,"91,5","100,8","100,2","170,4","320,7"
BULGARIA,"428,9","56,7","126,8","39,8","314,3"
ARGENTINA,"238,3","202,2","158,9","280,7","310,8"
ESTONIA,"100,1","167,5","182,2",322,"309,9"
ALJAZAIR,"199,5","155,2","154,3","243,6","302,4"
QATAR,"91,2","168,4","184,3","217,2","296,8"
TIMOR TIMUR,"185,8","207,1",219,"246,1","293,2"
DJIBOUTI,"211,5","162,6","195,4","311,1","290,8"
IRAK,"136,5","168,9","188,2","218,3","278,1"
TANZANIA,"263,2","262,9","244,1","361,9","277,4"
SRI LANGKA,"320,6","321,4",266,"356,5","263,7"
KOLUMBIA,"141,1","140,1","125,4","332,2","259,1"
SWEDIA,"161,2","155,7","172,3","241,1","253,4"
MAURITANIA,76,"59,5","81,9","217,5","247,9"
PAPUA NUGINI,"184,8","153,2",139,"196,7","244,5"
